Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,10533.151367,10741.281250,10403.352539,10403.352539,10403.352539,0
2021-02-01,10407.534180,10847.840820,10377.750000,10590.352539,10590.352539,0
2021-03-01,10599.548828,10855.192383,10491.899414,10841.325195,10841.325195,0
2021-04-01,10860.835938,10988.489258,10732.433594,10890.489258,10890.489258,0
2021-05-01,10890.489258,10914.519531,10587.451172,10793.036133,10793.036133,0
2021-06-01,10808.260742,10877.948242,10659.799805,10875.037109,10875.037109,0
2021-07-01,10854.513672,10857.701172,10546.547852,10679.417969,10679.417969,0
2021-08-01,10677.122070,10710.961914,10492.211914,10674.971680,10674.971680,0
2021-09-01,10597.708984,10651.887695,10487.280273,10564.466797,10564.466797,0
2021-10-01,10576.979492,10592.719727,10067.615234,10584.926758,10584.926758,0
2021-11-01,10496.316406,10670.576172,10225.936523,10505.893555,10505.893555,0
2021-12-01,10494.248047,10594.722656,10263.504883,10565.195313,10565.195313,0
2022-01-01,10565.156250,10698.512695,10419.622070,10609.811523,10609.811523,0
2022-02-01,10617.046875,10722.521484,10451.699219,10590.468750,10590.468750,0
2022-03-01,10615.781250,10627.348633,10345.356445,10592.523438,10592.523438,0
2022-04-01,10593.098633,10622.740234,10408.489258,10492.652344,10492.652344,0
2022-05-01,10501.261719,10685.681641,10419.010742,10638.180664,10638.180664,0
2022-06-01,10614.682617,10750.263672,10454.181641,10681.437500,10681.437500,0
2022-07-01,10711.215820,10840.603516,10620.549805,10764.106445,10764.106445,0
2022-08-01,10731.230469,10850.443359,10588.730469,10622.697266,10622.697266,0
2022-09-01,10619.991211,10677.289063,10486.343750,10620.272461,10620.272461,0
2022-10-01,10618.937500,11096.889648,10582.556641,11030.930664,11030.930664,0
2022-11-01,11056.426758,11499.482422,11017.556641,11433.296875,11433.296875,0
2022-12-01,11500.023438,11713.733398,11268.789063,11572.505859,11572.505859,0
